Date,Sentiment_Index
06/02/2018,100
07/02/2018,99.5
08/02/2018,95.76
09/02/2018,97.16
12/02/2018,98.42
13/02/2018,98.73
14/02/2018,100.01
15/02/2018,101.26
16/02/2018,101.37
20/02/2018,100.73
21/02/2018,100.15
22/02/2018,100.23
23/02/2018,101.86
26/02/2018,103.08
27/02/2018,101.78
28/02/2018,100.65
01/03/2018,99.35
02/03/2018,99.95
05/03/2018,100.99
06/03/2018,101.15
07/03/2018,101.21
08/03/2018,101.68
09/03/2018,103.34
12/03/2018,103.03
13/03/2018,102.6
14/03/2018,102.02
15/03/2018,101.84
16/03/2018,102.16
19/03/2018,100.76
20/03/2018,101
21/03/2018,100.95
22/03/2018,98.44
23/03/2018,96.47
26/03/2018,99.15
27/03/2018,97.51
28/03/2018,97.24
29/03/2018,98.54
02/04/2018,96.27
03/04/2018,97.54
04/04/2018,98.71
05/04/2018,99.1
06/04/2018,96.95
09/04/2018,97.29
10/04/2018,98.99
11/04/2018,98.47
12/04/2018,99.24
13/04/2018,99.1
16/04/2018,100
17/04/2018,100.83
18/04/2018,100.98
19/04/2018,100.07
20/04/2018,99.43
23/04/2018,99.58
24/04/2018,98.39
25/04/2018,98.52
26/04/2018,99.53
27/04/2018,99.67
30/04/2018,98.58
01/05/2018,98.55
02/05/2018,97.63
03/05/2018,97.42
04/05/2018,98.31
07/05/2018,98.74
08/05/2018,98.8
09/05/2018,99.91
10/05/2018,100.76
11/05/2018,101.07
14/05/2018,101.27
15/05/2018,100.53
16/05/2018,100.91
17/05/2018,100.84
18/05/2018,100.5
21/05/2018,101.27
22/05/2018,100.91
23/05/2018,101.32
24/05/2018,101.06
25/05/2018,100.7
29/05/2018,99.6
30/05/2018,100.99
31/05/2018,100.3
01/06/2018,101.5
04/06/2018,101.95
05/06/2018,102
06/06/2018,102.87
07/06/2018,102.58
08/06/2018,102.84
11/06/2018,102.94
12/06/2018,103.17
13/06/2018,102.76
14/06/2018,103.11
15/06/2018,102.92
18/06/2018,102.73
19/06/2018,102.34
20/06/2018,102.6
21/06/2018,101.92
22/06/2018,101.95
25/06/2018,100.36
26/06/2018,100.62
27/06/2018,99.66
28/06/2018,100.34
29/06/2018,100.4
02/07/2018,100.85
03/07/2018,100.23
05/07/2018,101.15
06/07/2018,102.14
09/07/2018,103.08
10/07/2018,103.46
11/07/2018,102.76
12/07/2018,103.82
13/07/2018,103.91
16/07/2018,103.89
17/07/2018,104.35
18/07/2018,104.41
19/07/2018,103.9
